Variable,Confidence Level,Mean,Lower Bound,Upper Bound,Margin of Error
MedInc,90%,3.8706710029069766,3.848918724547555,3.892423281266398,0.02175227835942147
MedInc,95%,3.8706710029069766,3.844751207911283,3.8965907979026704,0.02591979499569386
MedInc,99%,3.8706710029069766,3.8366054653173145,3.9047365404966388,0.03406553758966226
HouseAge,90%,28.639486434108527,28.49538630623796,28.783586561979092,0.14410012787056434
HouseAge,95%,28.639486434108527,28.467778178470073,28.81119468974698,0.17170825563845152
HouseAge,99%,28.639486434108527,28.413815897830027,28.865156970387027,0.2256705362784997
AveRooms,90%,5.428999742190376,5.400671345725697,5.457328138655055,0.028328396464679186
AveRooms,95%,5.428999742190376,5.395243911339526,5.462755573041226,0.033755830850849405
AveRooms,99%,5.428999742190376,5.384635559336656,5.4733639250440955,0.04436418285371971
Population,90%,1425.4767441860465,1412.510458417515,1438.443029954578,12.966285768531472
Population,95%,1425.4767441860465,1410.0262491425997,1440.9272392294934,15.450495043446894
Population,99%,1425.4767441860465,1405.1706646137015,1445.7828237583915,20.306079572345052
